cpc4,label
A61D,"VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS"
A61F,FILTERS IMPLANTABLE INTO BLOOD VESSELS
A61G,TRANSPORT OR ACCOMODATION FOR PATIENTS
A61H,PHYSICAL THERAPY APPARATUS
A61J,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES
A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES"
A61L,METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL
A61M,"DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY"
A61N,ELECTROTHERAPY
A61P,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS
A61Q,SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS
A62B,"DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING"
A62C,FIRE-FIGHTING
A62D,CHEMICAL MEANS FOR EXTINGUISHING FIRES OR FOR COMBATING CHEMICAL AGENTS
A63B,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING"
A63C,SKATES
A63D,BOWLING-ALLEYS
A63F,"CARD, BOARD, OR ROULETTE GAMES"
A63G,MERRY-GO-ROUNDS
A63H,"TOYS, e.g. TOPS, DOLLS, HOOPS, BUILDING BLOCKS"
A63J,"DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE"
A63K,RACING
B01B,BOILING
B01D,SEPARATION
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING, DISPERSING"
B01J,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY"
B01L,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE
B02B,PREPARING GRAIN FOR MILLING
B02C,"CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL"
B03B,SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES
B03C,MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS
B03D,FLOTATION
B04B,CENTRIFUGES
B04C,"APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES"
B05B,SPRAYING APPARATUS
B05C,"APPARATUS FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL"
B05D,"PROCESSES FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL"
B06B,"METHODS OR APPARATUS FOR GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS OF INFRASONIC, SONIC, OR ULTRASONIC FREQUENCY,"
B07B,"SEPERATING SOLIDS FROM SOLIDS BY SIEVING, SCREENING, OR SIFTING OR BY USING GAS CURRENTS"
B07C,POSTAL SORTING
B08B,CLEANING IN GENERAL
B09B,DISPOSAL OF SOLID WASTE
B09C,RECLAMATION OF CONTAMINATED SOIL
B21B,ROLLING OF METAL
B21C,"MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES OR PROFILES"
B21D,"WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES"
B21F,WORKING OR PROCESSING OF METAL WIRE
B21G,"MAKING NEEDLES, PINS OR NAILS OF METAL"
B21H,"MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS"
B21J,FORGING
B21K,"MAKING FORGED OR PRESSED METAL PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELS"
B21L,MAKING METAL CHAINS
B22C,FOUNDRY MOULDING
B22D,CASTING OF METALS
B22F,WORKING METALLIC POWDER
B23B,TURNING
B23C,MILLING
B23D,PLANING
B23F,MAKING GEARS OR TOOTHED RACKS
B23G,THREAD CUTTING
B23H,WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT
B23K,SOLDERING OR UNSOLDERING
B23P,OTHER WORKING OF METAL
B23Q,"DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS"
B24B,"MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHING"
B24C,ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL
B24D,"TOOLS FOR GRINDING, BUFFING, OR SHARPENING"
B25B,"TOOLS OR BENCH DEVICES FOR FASTENING, CONNECTING, DISENGAGING OR HOLDING"
B25C,HAND-HELD NAILING OR STAPLING TOOLS
B25D,PERCUSSIVE TOOLS
B25F,COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FOR
B25G,HANDLES FOR HAND IMPLEMENTS
B25H,"WORKSHOP EQUIPMENT, e.g. FOR MARKING-OUT WORK"
B25J,MANIPULATORS
B26B,HAND-HELD CUTTING TOOLS NOT OTHERWISE PROVIDED FOR
B26D,CUTTING
B26F,PERFORATING
B27B,SAWS FOR WOOD OR SIMILAR MATERIAL
B27C,"PLANING, DRILLING, MILLING, TURNING OR UNIVERSAL MACHINES FOR WOOD"
B27D,WORKING VENEER OR PLYWOOD
B27F,DOVETAILED WORK
B27G,ACCESSORY MACHINES OR APPARATUS
B27H,BENDING WOOD OR SIMILAR MATERIAL
B27J,"MECHANICAL WORKING OF CANE, CORK, OR SIMILAR MATERIALS"
B27K,"PROCESSES, APPARATUS OR SELECTION OF SUBSTANCES FOR IMPREGNATING, STAINING, DYEING, BLEACHING OF WOOD OR SIMILAR MATERIALS"
B27L,REMOVING BARK OR VESTIGES OF BRANCHES
B27M,WORKING OF WOOD
B27N,"MANUFACTURE BY DRY PROCESSES OF ARTICLES,, MADE FROM PARTICLES OR FIBRES"
B28B,"SHAPING CLAY OR OTHER CERAMIC COMPOSITIONS, SLAG, OR MIXTURES CONTAINING CEMENTITIOUS MATERIAL"
B28C,PREPARING CLAY
B28D,WORKING STONE OR STONE-LIKE MATERIALS
B29B,PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED
B29C,SHAPING OR JOINING OF PLASTICS
B29D,PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE
B29K,MOULDING PLASTIC MATERIALS
B29L,SHAPING PLASTICS FOR PARTICULAR ARTICLES
B30B,PRESSES IN GENERAL
B31B,"MAKING CONTAINERS OF PAPER, CARDBOARD"
B31C,MAKING WOUND ARTICLES
B31D,"MAKING ARTICLES OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER"
B31F,"MECHANICAL WORKING OR DEFORMATION OF PAPER, CARDBOARD"
B32B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT"
B33Y,"ADDITIVE MANUFACTURING, i.e. MANUFACTURING OF THREE-DIMENSIONAL [3-D] OBJECTS"
B41B,"MACHINES OR ACCESSORIES FOR MAKING, SETTING, OR DISTRIBUTING TYPE"
B41C,PROCESSES FOR THE MANUFACTURE OR REPRODUCTION OF PRINTING SURFACES
B41D,APPARATUS FOR THE MECHANICAL REPRODUCTION OF PRINTING SURFACES FOR STEREOTYPE PRINTING
B41F,PRINTING MACHINES OR PRESSES
B41G,"APPARATUS FOR BRONZE PRINTING, LINE PRINTING, OR FOR BORDERING"
B41J,TYPEWRITERS
B41K,STAMPS
B41L,"APPARATUS OR DEVICES FOR MANIFOLDING, DUPLICATING, OR PRINTING"
B41M,"PRINTING, DUPLICATING, MARKING, OR COPYING PROCESSES"
B41N,PRINTING PLATES OR FOILS
B41P,"PRINTING, LINING MACHINES, TYPEWRITERS, AND TO STAMPS"
B42B,"PERMANENTLY ATTACHING TOGETHER SHEETS, QUIRES OR SIGNATURES"
B42C,BOOKBINDING
B42D,BOOKS
B42F,SHEETS TEMPORARILY ATTACHED TOGETHER
B42P,"BOOKS, FILING APPLIANCES OR THE LIKE"
B43K,IMPLEMENTS FOR WRITING OR DRAWING
B43L,ARTICLES FOR WRITING OR DRAWING UPON
B43M,BUREAU ACCESSORIES
B44B,"MACHINES, APPARATUS OR TOOLS FOR ARTISTIC WORK"
B44C,PRODUCING DECORATIVE EFFECTS
B44D,"PAINTING OR ARTISTIC DRAWING, NOT OTHERWISE PROVIDED FOR"
B44F,SPECIAL DESIGNS OR PICTURES
B60B,VEHICLE WHEELS
B60C,VEHICLE TYRES
B60D,VEHICLE CONNECTIONS
B60F,VEHICLES FOR USE BOTH ON RAIL AND ON ROAD
B60G,VEHICLE SUSPENSION ARRANGEMENTS
B60H,"ARRANGEMENTS OR ADAPTATIONS OF HEATING, COOLING, VENTILATING, OR OTHER AIR-TREATING DEVICES"
B60J,"WINDOWS, WINDSCREENS, NON-FIXED ROOFS, DOORS, OR SIMILAR DEVICES FOR VEHICLES"
B60K,ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES
B60L,ELECTRIC EQUIPMENT OR PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES
B60M,"POWER SUPPLY LINES, AND DEVICES ALONG RAILS, FOR ELECTRICALLY- PROPELLED VEHICLES"
B60N,SEATS SPECIALLY ADAPTED FOR VEHICLES
B60P,VEHICLES ADAPTED FOR LOAD TRANSPORTATION
B60Q,ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES FOR VEHICLES IN GENERAL
B60R,"VEHICLES, VEHICLE FITTINGS, OR VEHICLE PARTS"
B60S,"SERVICING, CLEANING, REPAIRING, SUPPORTING, LIFTING, OR MANOEUVRING OF VEHICLES"
B60T,VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF
B60V,AIR-CUSHION VEHICLES
B60W,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION
B60Y,ASPECTS CROSS-CUTTING VEHICLE TECHNOLOGY
B61B,RAILWAY SYSTEMS
B61C,LOCOMOTIVES
B61D,BODY DETAILS OR KINDS OF RAILWAY VEHICLES
B61F,RAIL VEHICLE SUSPENSIONS
B61G,COUPLINGS
B61H,BRAKES OR OTHER RETARDING APPARATUS PECULIAR TO RAIL VEHICLES
B61J,SHIFTING OR SHUNTING OF RAIL VEHICLES
B61K,OTHER AUXILIARY EQUIPMENT FOR RAILWAYS
B61L,GUIDING RAILWAY TRAFFIC
B62B,HAND-PROPELLED VEHICLES
B62C,VEHICLES DRAWN BY ANIMALS
B62D,MOTOR VEHICLES
B62H,CYCLE STANDS
B62J,CYCLE SADDLES OR SEATS
B62K,CYCLES
B62L,BRAKES SPECIALLY ADAPTED FOR CYCLES
B62M,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES
B63B,SHIPS OR OTHER WATERBORNE VESSELS
B63C,"LAUNCHING, HAULING-OUT, OR DRY-DOCKING OF VESSELS"
B63G,OFFENSIVE OR DEFENSIVE ARRANGEMENTS ON VESSELS
B63H,MARINE PROPULSION OR STEERING
B63J,AUXILIARIES ON VESSELS
B64B,LIGHTER-THAN AIR AIRCRAFT
B64C,AEROPLANES
B64D,EQUIPMENT FOR FITTING IN OR TO AIRCRAFT
B64F,GROUND OR AIRCRAFT-CARRIER-DECK INSTALLATIONS FOR USE IN CONNECTION WITH AIRCRAFT
B64G,COSMONAUTICS
B65B,"MACHINES, APPARATUS OR DEVICES FOR PACKAGING ARTICLES OR MATERIALS"
B65C,"LABELLING OR TAGGING MACHINES, APPARATUS, OR PROCESSES"
B65D,CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS
B65F,GATHERING OR REMOVAL OF DOMESTIC OR LIKE REFUSE
B65G,"TRANSPORT OR STORAGE DEVICES, e.g. CONVEYORS FOR LOADING OR TIPPING"
B65H,"HANDLING THIN OR FILAMENTARY MATERIAL, e.g. SHEETS, WEBS, CABLES"
B66B,ELEVATORS
B66C,CRANES
B66D,CAPSTANS
B66F,"HOISTING, LIFTING, HAULING OR PUSHING, e.g. DEVICES WHICH APPLY A LIFTING FORCE DIRECTLY TO THE SURFACE OF A LOAD"
B67B,"APPLYING CLOSURE MEMBERS TO BOTTLES JARS, OR SIMILAR CONTAINERS"
B67C,"CLEANING, FILLING WITH LIQUIDS OR SEMILIQUIDS, OR EMPTYING, OF BOTTLES, JARS, CANS, CASKS, BARRELS, OR SIMILAR CONTAINERS"
B67D,"DISPENSING, DELIVERING OR TRANSFERRING LIQUIDS, NOT OTHERWISE PROVIDED FOR"
B68B,HARNESS
B68C,SADDLES
B68F,"MAKING ARTICLES FROM LEATHER, CANVAS, OR THE LIKE"
B68G,"METHODS, EQUIPMENT, OR MACHINES FOR USE IN UPHOLSTERING"
B81B,"MICROSTRUCTURAL DEVICES OR SYSTEMS, e.g. MICROMECHANICAL DEVICES"
B81C,PROCESSES OR APPARATUS SPECIALLY ADAPTED FOR THE MANUFACTURE OR TREATMENT OF MICROSTRUCTURAL DEVICES OR SYSTEMS
B82B,"NANOSTRUCTURES FORMED BY MANIPULATION OF INDIVIDUAL ATOMS, MOLECULES"
B82Y,SPECIFIC USES OR APPLICATIONS OF NANOSTRUCTURES
C01B,NON-METALLIC ELEMENTS
C01C,AMMONIA
C01D,COMPOUNDS OF ALKALI METALS
C01F,"COMPOUNDS OF THE METALS BERYLLIUM, MAGNESIUM, ALUMINIUM, CALCIUM, STRONTIUM, BARIUM, RADIUM, THORIUM, OR OF THE RARE-EARTH METALS"
C01G,COMPOUNDS CONTAINING METALS
C01P,STRUCTURAL AND PHYSICAL ASPECTS OF SOLID INORGANIC COMPOUNDS
C02F,"TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE"
C03B,"MANUFACTURE, SHAPING, OR SUPPLEMENTARY PROCESSES"
C03C,"CHEMICAL COMPOSITION OF GLASSES, GLAZES, OR VITREOUS ENAMELS"
C04B,"LIME, MAGNESIA"
C05B,PHOSPHATIC FERTILISERS
C05C,NITROGENOUS FERTILISERS
C05D,INORGANIC FERTILISERS
C05F,ORGANIC FERTILISERS
C05G,MIXTURES OF FERTILISERS
C06B,EXPLOSIVES OR THERMIC COMPOSITIONS
C06C,DETONATING OR PRIMING DEVICES
C06D,MEANS FOR GENERATING SMOKE OR MIST
C06F,MATCHES
C07B,GENERAL METHODS OF ORGANIC CHEMISTRY
C07C,ACYCLIC OR CARBOCYCLIC COMPOUNDS
C07D,HETEROCYCLIC COMPOUNDS
C07F,"ACYCLIC, CARBOCYCLIC OR HETEROCYCLIC COMPOUNDS CONTAINING ELEMENTS OTHER THAN CARBON, HYDROGEN, HALOGEN, OXYGEN, NITROGEN, SULFUR, SELENIUM OR TELLURIUM"
C07G,COMPOUNDS OF UNKNOWN CONSTITUTION
C07H,SUGARS
C07J,STEROIDS
C07K,PEPTIDES
C08B,POLYSACCHARIDES
C08C,TREATMENT OR CHEMICAL MODIFICATION OF RUBBERS
C08F,MACROMOLECULAR COMPOUNDS OBTAINED BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS
C08G,MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING UNSATURATED CARBON-TO-CARBON BONDS
C08H,DERIVATIVES OF NATURAL MACROMOLECULAR COMPOUNDS
C08J,WORKING-UP
C08K,USE OF INORGANIC OR NON-MACROMOLECULAR ORGANIC SUBSTANCES AS COMPOUNDING INGREDIENTS
C08L,COMPOSITIONS OF MACROMOLECULAR COMPOUNDS
C09B,ORGANIC DYES OR CLOSELY-RELATED COMPOUNDS FOR PRODUCING DYES
C09C,TREATMENT OF INORGANIC MATERIALS TO ENHANCE THEIR PIGMENTING OR FILLING PROPERTIES
C09D,"COATING COMPOSITIONS, e.g. PAINTS, VARNISHES OR LACQUERS"
C09F,NATURAL RESINS
C09G,POLISHING COMPOSITIONS OTHER THAN FRENCH POLISH
C09H,PREPARATION OF GLUE OR GELATINE
C09J,ADHESIVES
C09K,"MATERIALS FOR MISCELLANEOUS APPLICATIONS, NOT PROVIDED FOR ELSEWHERE"
C10B,"DESTRUCTIVE DISTILLATION OF CARBONAGEOUS MATERIALS FOR PRODUCTION OF GAS, COKE, TAR, OR SIMILAR MATERIALS"
C10C,"WORKING-UP PITCH, ASPHALT, BITUMEN, TAR"
C10F,DRYING OR WORKING-UP OF PEAT
C10G,CRACKING HYDROCARBON OILS
C10H,PRODUCTION OF ACETYLENE BY WET METHODS
C10J,"PRODUCTION OF PRODUCER GAS, WATER-GAS, SYNTHESIS GAS FROM SOLID CARBONACEOUS MATERIAL"
C10K,PURIFYING OR MODIFYING THE CHEMICAL COMPOSITION OF COMBUSTIBLE GASES CONTAINING CARBON MONOXIDE
C10L,FUELS NOT OTHERWISE PROVIDED FOR
C10M,LUBRICATING COMPOSITIONS
C10N,INDEXING SCHEME ASSOCIATED WITH SUBCLASS C10M RELATING TO LUBRICATING COMPOSITIONS
C11B,"PRODUCING REFINING AND PRESERVING FATS, FATTY SUBSTANCES"
C11C,"FATTY ACIDS FROM FATS, OILS OR WAXES"
C11D,DETERGENT COMPOSITIONS
C12C,BREWING OF BEER
C12F,DISTILLATION OR RECTIFICATION OF FERMENTED SOLUTIONS
C12G,WINE
C12H,PASTEURISATION
C12J,VINEGAR
C12L,PITCHING OR DEPITCHING MACHINES
C12M,APPARATUS FOR ENZYMOLOGY OR MICROBIOLOGY
C12N,MICROORGANISMS OR ENZYMES
C12P,FERMENTATION OR ENZYME-USING PROCESSES TO SYNTHESISE A DESIRED CHEMICAL COMPOUND
C12Q,"MEASURING OR TESTING PROCESSES INVOLVING ENZYMES, NUCLEIC ACIDS OR MICROORGANISMS"
C12R,PROCESSES USING MICROORGANISMS
C12Y,ENZYMES
C13B,PRODUCTION OF SUCROSE
C13K,"SACCHARIDES OBTAINED FROM NATURAL SOURCES OR BY HYDROLYSIS OF NATURALLY OCCURRING DI-, OLIGO- OR POLYSACCHARIDES"
C14B,"MECHANICAL TREATMENT OR PROCESSING OF SKINS, HIDES OR LEATHER IN GENERAL"
C14C,"CHEMICAL TREATMENT OF HIDES, SKINS OR LEATHER, e.g. TANNING, IMPREGNATING, FINISHING"
C21B,MANUFACTURE OF IRON OR STEEL
C21C,"PROCESSING OF PIG-IRON, e.g. REFINING, MANUFACTURE OF WROUGHT-IRON OR STEEL"
C21D,MODIFYING THE PHYSICAL STRUCTURE OF FERROUS METALS
C22B,PRODUCTION AND REFINING OF METALS
C22C,ALLOYS
C22F,CHANGING THE PHYSICAL STRUCTURE OF NON-FERROUS METALS AND NON-FERROUS ALLOYS
C23C,COATING METALLIC MATERIAL
C23D,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS"
C23F,NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE
C23G,CLEANING OR DEGREASING OF METALLIC MATERIAL BY CHEMICAL METHODS OTHER THAN ELECTROLYSIS
C25B,ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON-METALS
C25C,"PROCESSES FOR THE ELECTROLYTIC PRODUCTION, RECOVERY OR REFINING OF METALS"
C25D,PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS
C25F,PROCESSES FOR THE ELECTROLYTIC REMOVAL OF MATERIALS FROM OBJECTS
C30B,SINGLE-CRYSTAL-GROWTH
C40B,COMBINATORIAL CHEMISTRY
D01B,MECHANICAL TREATMENT OF NATURAL FIBROUS OR FILAMENTARY MATERIAL TO OBTAIN FIBRES OF FILAMENTS
D01C,CHEMICAL TREATMENT OF NATURAL FILAMENTARY OR FIBROUS MATERIAL TO OBTAIN FILAMENTS OR FIBRES
D01D,"MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS"
D01F,"CHEMICAL FEATURES IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS"
D01G,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING"
D01H,SPINNING OR TWISTING
D02G,"CRIMPING OR CURLING FIBRES, FILAMENTS, THREADS, OR YARNS"
D02H,"WARPING, BEAMING OR LEASING"
D02J,"FINISHING OR DRESSING OF FILAMENTS, YARNS, THREADS, CORDS, ROPES OR THE LIKE"
D03C,SHEDDING MECHANISMS
D03D,WOVEN FABRICS
D03J,AUXILIARY WEAVING APPARATUS
D04B,KNITTING
D04C,"BRAIDING OR MANUFACTURE OF LACE, INCLUDING BOBBIN-NET OR CARBONISED LACE"
D04D,TRIMMINGS
D04G,MAKING NETS BY KNOTTING OF FILAMENTARY MATERIAL
D04H,"MAKING TEXTILE FABRICS, e.g. FROM FIBRES OR FILAMENTARY MATERIAL"
D05B,SEWING
D05C,EMBROIDERING
D05D,"RELATING TO SEWING, EMBROIDERING AND TUFTING"
D06B,"TREATING TEXTILE MATERIALS BY LIQUIDS, GASES OR VAPOURS"
D06C,"FINISHING, DRESSING, TENTERING OR STRETCHING TEXTILE FABRICS"
D06F,"LAUNDERING, DRYING, IRONING, PRESSING OR FOLDING TEXTILE ARTICLES"
D06G,"MECHANICAL OR PRESSURE CLEANING OF CARPETS, RUGS, SACKS, HIDES OR OTHER SKIN OR TEXTILE ARTICLES OR FABRICS"
D06H,"MARKING, INSPECTING, SEAMING OR SEVERING TEXTILE MATERIALS"
D06J,"PLEATING, KILTING, OR GOFFERING TEXTILE FABRICS OR WEARING APPAREL"
D06L,"DRY-CLEANING, WASHING OR BLEACHING FIBRES, FILAMENTS, THREADS, YARNS, FABRICS,"
D06M,"TREATMENT OF FIBRES, THREADS, YARNS, FABRICS, FEATHERS, OR FIBROUS GOODS"
D06N,"WALL, FLOOR OR LIKE COVERING MATERIALS"
D06P,DYEING OR PRINTING TEXTILES
D06Q,DECORATING TEXTILES
D07B,ROPES OR CABLES IN GENERAL
D10B,RELATING TO TEXTILES
D21B,FIBROUS RAW MATERIALS OR THEIR MECHANICAL TREATMENT
D21C,PRODUCTION OF CELLULOSE BY REMOVING NON-CELLULOSE SUBSTANCES FROM CELLULOSE-CONTAINING MATERIALS
D21D,TREATMENT OF THE MATERIALS BEFORE PASSING TO THE PAPER-MAKING MACHINE
D21F,PAPER-MAKING MACHINES
D21G,CALENDERS
D21H,PULP COMPOSITIONS
D21J,FIBREBOARD
E01B,PERMANENT WAY
E01C,"CONSTRUCTION OF, OR SURFACES FOR, ROADS, SPORTS GROUNDS"
E01D,"CONSTRUCTION OF BRIDGES,"
E01F,"ADDITIONAL WORK, SUCH AS EQUIPPING ROADS OR THE CONSTRUCTION OF PLATFORMS, HELICOPTER LANDING STAGES, SIGNS, SNOW FENCES"
E01H,STREET CLEANING
E02B,HYDRAULIC ENGINEERING
E02C,SHIP-LIFTING DEVICES OR MECHANISMS
E02D,FOUNDATIONS
E02F,DREDGING
E03B,"INSTALLATIONS OR METHODS FOR OBTAINING, COLLECTING, OR DISTRIBUTING WATER"
E03C,DOMESTIC PLUMBING INSTALLATIONS FOR FRESH WATER OR WASTE WATER
E03D,WATER-CLOSETS OR URINALS WITH FLUSHING DEVICES
E03F,SEWERS
E04B,GENERAL BUILDING CONSTRUCTIONS
E04C,STRUCTURAL ELEMENTS
E04D,ROOF COVERINGS
E04F,"FINISHING WORK ON BUILDINGS, e.g. STAIRS, FLOORS"
E04G,SCAFFOLDING
E04H,BUILDINGS OR LIKE STRUCTURES FOR PARTICULAR PURPOSES
E05B,LOCKS
E05C,"BOLTS OR FASTENING DEVICES FOR WINGS, SPECIALLY FOR DOORS OR WINDOWS"
E05D,"HINGES OR OTHER SUSPENSION DEVICES FOR DOORS, WINDOWS OR WINGS"
E05F,DEVICES FOR MOVING WINGS INTO OPEN OR CLOSED POSITION
E05G,SAFES OR STRONG-ROOMS FOR VALUABLES
E05Y,"HINGES OR OTHER SUSPENSION DEVICES FOR DOORS, WINDOWS OR WINGS"
E06B,"FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS, VEHICLES, FENCES OR LIKE ENCLOSURES IN GENERAL"
E06C,LADDERS
E21B,"EARTH DRILLING, e.g. DEEP DRILLING"
E21C,MINING OR QUARRYING
E21D,SHAFTS
